"County","DemographicCategory","TeacherCount","TotalTeacherCount","TeacherPct","COUNTYFP","FIPS","cluster"
"Adams","White",280,374,0.7487,"001",53001,"Low"
"Asotin","White",182,185,0.9838,"003",53003,"High"
"Benton","White",1963,2248,0.8732,"005",53005,"Low"
"Chelan","White",776,879,0.8828,"007",53007,"Mid"
"Clallam","White",652,732,0.8907,"009",53009,"Mid"
"Clark","White",4414,4932,0.895,"011",53011,"Mid"
"Columbia","White",35,37,0.9459,"013",53013,"High"
"Cowlitz","White",970,1038,0.9345,"015",53015,"High"
"Douglas","White",408,446,0.9148,"017",53017,"Mid"
"Ferry","White",62,70,0.8857,"019",53019,"Mid"
"Franklin","White",1268,1357,0.9344,"021",53021,"High"
"Garfield","White",22,22,1,"023",53023,"High"
"Grant","White",1100,1270,0.8661,"025",53025,"Low"
"Grays Harbor","White",640,747,0.8568,"027",53027,"Low"
"Island","White",506,553,0.915,"029",53029,"Mid"
"Jefferson","White",174,186,0.9355,"031",53031,"High"
"King","White",15253,18626,0.8189,"033",53033,"Low"
"Kitsap","White",2085,2364,0.882,"035",53035,"Mid"
"Kittitas","White",356,387,0.9199,"037",53037,"Mid"
"Klickitat","White",333,348,0.9569,"039",53039,"High"
"Lewis","White",726,768,0.9453,"041",53041,"High"
"Lincoln","White",181,197,0.9188,"043",53043,"Mid"
"Mason","White",620,701,0.8845,"045",53045,"Mid"
"Okanogan","White",560,620,0.9032,"047",53047,"Mid"
"Pacific","White",200,230,0.8696,"049",53049,"Low"
"Pend Oreille","White",115,120,0.9583,"051",53051,"High"
"Pierce","White",6927,8134,0.8516,"053",53053,"Low"
"San Juan","White",142,160,0.8875,"055",53055,"Mid"
"Skagit","White",1143,1260,0.9071,"057",53057,"Mid"
"Skamania","White",79,81,0.9753,"059",53059,"High"
"Snohomish","White",6114,6776,0.9023,"061",53061,"Mid"
"Spokane","White",4682,4943,0.9472,"063",53063,"High"
"Stevens","White",371,392,0.9464,"065",53065,"High"
"Thurston","White",2350,2607,0.9014,"067",53067,"Mid"
"Wahkiakum","White",39,41,0.9512,"069",53069,"High"
"Walla Walla","White",477,555,0.8595,"071",53071,"Low"
"Whatcom","White",1756,1872,0.938,"073",53073,"High"
"Whitman","White",364,389,0.9357,"075",53075,"High"
"Yakima","White",2369,3275,0.7234,"077",53077,"Low"
